n	a [Pa]	b	pf [hPa]
0	0.9990000128746033	0.0
1	1.6050000190734863	0.0	0.012781458906829357
2	2.5320000648498535	0.0	0.020334040746092796
3	3.9240000247955322	0.0	0.03177341818809509
4	5.97599983215332	0.0	0.048782818019390106
5	8.946999549865723	0.0	0.07361853122711182
6	13.177000045776367	0.0	0.10925868153572083
7	19.09600067138672	0.0	0.15953919291496277
8	27.243000030517578	0.0	0.2292877435684204
9	38.2760009765625	0.0	0.3244747519493103
10	52.98400115966797	0.0	0.45232152938842773
11	72.29299926757812	0.0	0.6213930249214172
12	97.26899719238281	0.0	0.8416425585746765
13	129.11000061035156	0.0	1.124390959739685
14	169.13499450683594	0.0	1.4822291135787964
15	218.76699829101562	0.0	1.9288791418075562
16	279.5060119628906	0.0	2.478975772857666
17	352.8940124511719	0.0	3.1477551460266113
18	440.4809875488281	0.0	3.9507062435150146
19	543.781982421875	0.0	4.903191566467285
20	664.2360229492188	0.0	6.020018577575684
21	803.1640014648438	0.0	7.315023899078369
22	961.7340087890625	0.0	8.800692558288574
23	1140.9310302734375	0.0	10.487824440002441
24	1341.5379638671875	0.0	12.385278701782227
25	1564.1190185546875	0.0	14.499824523925781
26	1809.0279541015625	0.0	16.83605194091797
27	2076.4150390625	0.0	19.396509170532227
28	2366.251953125	0.0	22.181779861450195
29	2678.3720703125	0.0	25.190898895263672
30	3012.510009765625	0.0	28.421689987182617
31	3368.363037109375	0.0	31.871253967285156
32	3745.64599609375	0.0	35.53667068481445
33	4144.1640625	0.0	39.41547393798828
34	4563.880859375	0.0	43.50650405883789
35	5004.9951171875	0.0	47.81049346923828
36	5468.01708984375	0.0	52.330955505371094
37	5953.84814453125	0.0	57.074893951416016
38	6463.86376953125	0.0	62.0536003112793
39	7000.0	0.0	67.28372192382812
40	7563.494140625	1.0179999662796035e-05	72.7860336303711
41	8150.6611328125	8.1409998529125e-05	78.57906341552734
42	8756.529296875	0.0002746900136116892	84.67549896240234
43	9376.140625	0.0006507799844257534	91.08661651611328
44	10004.552734375	0.0012700899969786406	97.8232650756836
45	10636.8505859375	0.0021924800239503384	104.89664459228516
46	11268.1572265625	0.0034771300852298737	112.31695556640625
47	11893.638671875	0.005182280205190182	120.09467315673828
48	12508.5185546875	0.007365040015429258	128.23936462402344
49	13108.0908203125	0.010081199929118156	136.75987243652344
50	13687.7265625	0.013384919613599777	145.66468811035156
51	14242.8896484375	0.017328569665551186	154.96142578125
52	14769.1533203125	0.02196238934993744	164.65609741210938
53	15262.2021484375	0.02733428031206131	174.75436401367188
54	15717.859375	0.033489540219306946	185.26072692871094
55	16132.08984375	0.040470559149980545	196.17715454101562
56	16501.017578125	0.04831660911440849	207.50550842285156
57	16820.9375	0.05706357955932617	219.24581909179688
58	17088.32421875	0.06674371659755707	231.39479064941406
59	17299.8515625	0.07738547772169113	243.94985961914062
60	17453.083984375	0.08900628983974457	256.9045715332031
61	17548.349609375	0.1015939712524414	270.25048828125
62	17586.771484375	0.11512617766857147	283.9787292480469
63	17569.697265625	0.12957622110843658	298.07684326171875
64	17498.697265625	0.1449129432439804	312.5292053222656
65	17375.560546875	0.16110080480575562	327.3210754394531
66	17202.298828125	0.1780998855829239	342.43280029296875
67	16981.13671875	0.19586604833602905	357.8437805175781
68	16714.50390625	0.2143511176109314	373.5308532714844
69	16405.01953125	0.2335030734539032	389.46905517578125
70	16055.4853515625	0.2532663345336914	405.63275146484375
71	15668.8603515625	0.2735821604728699	421.9921875
72	15248.2470703125	0.2943889796733856	438.51885986328125
73	14796.8681640625	0.31562289595603943	455.1800537109375
74	14318.0400390625	0.3372180461883545	471.9445495605469
75	13815.150390625	0.35910722613334656	488.7801513671875
76	13291.62890625	0.38122236728668213	505.6520690917969
77	12750.923828125	0.40349507331848145	522.5252685546875
78	12196.4677734375	0.42585715651512146	539.36865234375
79	11631.6591796875	0.448241263628006	556.1478271484375
80	11059.8271484375	0.4705812633037567	572.829345703125
81	10484.2080078125	0.49281296133995056	589.3785400390625
82	9907.9267578125	0.5148743391036987	605.7676391601562
83	9333.966796875	0.5367062091827393	621.9652709960938
84	8765.1552734375	0.5582524538040161	637.94189453125
85	8204.1416015625	0.5794605016708374	653.6714477539062
86	7653.38720703125	0.6002815365791321	669.1287231445312
87	7115.14697265625	0.620670735836029	684.2930908203125
88	6591.4677734375	0.6405875086784363	699.1375122070312
89	6084.17578125	0.6599956750869751	713.6463012695312
90	5594.8759765625	0.6788633465766907	727.8004150390625
91	5124.94921875	0.6971631050109863	741.5904541015625
92	4675.55419921875	0.7148720026016235	755.0011596679688
93	4247.6328125	0.731971263885498	768.0211181640625
94	3841.91796875	0.7484464645385742	780.6387329101562
95	3458.93310546875	0.7642871141433716	792.8535766601562
96	3099.010009765625	0.7794866561889648	804.6615600585938
97	2762.297119140625	0.79404217004776	816.0591430664062
98	2448.76806640625	0.8079541325569153	827.0448608398438
99	2158.238037109375	0.8212262988090515	837.6162719726562
100	1890.375	0.8338651657104492	847.783203125
101	1644.7120361328125	0.8458800911903381	857.5391235351562
102	1420.6610107421875	0.8572826385498047	866.90234375
103	1217.5279541015625	0.8680866360664368	875.869873046875
104	1034.5240478515625	0.8783077001571655	884.4552001953125
105	870.7780151367188	0.8879632353782654	892.6566162109375
106	725.3480224609375	0.8970717787742615	900.4920043945312
