n	a [Pa]	b	pf [hPa]
107	597.2349853515625	0.9056532382965088	907.9752197265625
108	485.3919982910156	0.9137283563613892	915.0985107421875
109	388.7340087890625	0.9213187098503113	921.8844604492188
110	306.14898681640625	0.928446352481842	928.3532104492188
111	236.5019989013672	0.9351337552070618	934.4923095703125
112	178.6510009765625	0.9414036870002747	940.3500366210938
113	131.44700622558594	0.9472788572311401	945.8849487304688
114	93.73999786376953	0.9527820944786072	951.147705078125
115	64.39199829101562	0.9579359889030457	956.1390380859375
116	42.27399826049805	0.9627629518508911	960.8926391601562
117	26.27400016784668	0.9672850966453552	965.3582763671875
118	15.302000045776367	0.9715240001678467	969.6144409179688
119	8.286999702453613	0.9755008816719055	973.6393432617188
120	4.190000057220459	0.9792364239692688	977.4310913085938
121	1.99399995803833	0.9827507734298706	981.0247192382812
122	0.8100000023841858	0.9860625267028809	984.4229125976562
123	0.23199999332427979	0.989185094833374	987.61376953125
124	0.028999999165534973	0.992129921913147	990.6548461914062
125	0.0	0.9949076771736145	993.513427734375
126	0.0	0.9975281953811646	996.2279663085938
127	0.0	1.0	998.7807006835938
